id;site_id;transaction_id;payment_method_id;currency;machine_name;authorization_value;campaign_id;settlement_value;product_selection_info;card_number;authrization_rrn;machine_authorization_time;machine_settlement_time;credit_card_type;card_type;payment_method;transaction_status_id;transaction_type_id;billing_provider;prepaid_card_holder_name;refund_request_by;refund_request_date;refund_reason
1;17380;qua;11261;provided onto;nearly duh;943;endanger;8867.01;till lovely;um;likely;2024-07-01T08:54:33;2024-07-01T03:08:35;eek kitten lopsided;maggot;boohoo microwave below;28979;23760;retail ack up;along gravel;uh-huh er;2024-07-01T12:42:20;enrich unlike reckless
2;11016;around boohoo;28595;overrule nutty lighthearted;mealy meanwhile likewise;11802;awkward hiccough provided;1264.82;now courageously contract;triumphantly before adorn;famously;2024-07-02T00:09:32;2024-07-01T08:33:50;victimize impossible;born;wry that;28675;24802;elevate gullible;psst mock;encumber lovable rattle;2024-07-01T18:13:21;daughter spy cruelly
3;15428;calmly stiff;28846;anxiously;demob beside psychoanalyst;912;foolhardy stable dob;3740.04;if;more fail consequently;secret mmm;2024-07-01T21:18:34;2024-07-01T02:33:56;supersize slowly;ameliorate aside;barring before;21509;16517;though to;serpentine picnic what;that generously ha;2024-07-01T16:31:01;yowza impanel brr
4;4350;finally supposing;19400;per hasty quicker;feline;11097;that absent subsidise;16499.04;jar fill;kit supposing;pro gah fully;2024-07-01T13:45:45;2024-07-01T22:37:10;lumbering;vivacious but astrologer;yippee overbalance upliftingly;14406;23614;within;finisher bedazzle;scarcely concerning;2024-07-01T13:56:02;closely
5;29119;how;1046;fooey even;beside;24411;fantastic;9018.01;chauffeur meh victoriously;evenly ah facilitate;midst productive;2024-07-01T15:18:27;2024-07-02T00:26:30;since necklace vainly;superb continually stop;frequent snarling vainly;18373;14436;gosh clumsy;grateful;but boo;2024-07-01T04:31:04;wherever actual
6;31417;reorganisation;27524;instead adept;unless sour whispered;2012;about sternly;15150.71;patiently frost;forenenst ultimately;when;2024-07-01T19:06:23;2024-07-01T07:46:29;crushing wildly;mini-skirt;really;8292;6853;coexist beyond;scalp;blah hence till;2024-07-01T03:10:54;mid percolate
7;29732;instead and yippee;3119;unimpressively roughly hm;cone scarify squatter;31440;lest than who;92.33;ugh;whereas yuck tippex;whenever;2024-07-01T20:27:46;2024-07-01T13:37:37;ugh upbeat;ugh uh-huh;among discover;22835;784;very dimly inasmuch;sans destruction;geez;2024-07-01T14:55:43;who
8;23042;ethical vacantly vie;14809;though ew;chatter;32044;whoa hm high-rise;11400.97;serialize after;if empathise;bequeath weasel;2024-07-01T04:45:25;2024-07-01T02:51:25;hype;dozen tremendously;than berry;31335;6792;growth out unimpressively;oh foolishly;woot cling athwart;2024-07-01T21:11:36;yuck
9;22437;to selfishly;24446;plumb;whoa aw;14330;large;18747.32;phew amongst;economy emu tissue;next below plumber;2024-07-01T17:20:25;2024-07-01T18:50:51;humanise;why;whether;6876;21726;from without onto;jubilantly happy-go-lucky indeed;gregarious;2024-07-01T22:26:14;among
10;18351;zowie guide whether;26201;often honeymoon;faithfully strictly crude;24885;maul burden;22615.36;outside chain;whereas ha although;supposing;2024-07-01T22:30:42;2024-07-01T08:06:19;longingly scribble perfect;needily;festival;366;3677;hm unused;lest;pish;2024-07-01T03:36:35;duh
